Team,G,FG,FGPG,FGA,FGAPG,FTA,FTAPG,ORB,ORBPG,TOV,TOPG,PTS/G,POSS,ORTG
DEN,82,3339,40.7195122,6983,85.15853659,2148,26.19512195,1092,13.31707317,1253,15.2804878,106.1,97.6,108.7090164
HOU,82,3124,38.09756098,6782,82.70731707,2087,25.45121951,909,11.08536585,1348,16.43902439,106,98.24146341,107.8974155
OKC,82,3126,38.12195122,6504,79.31707317,2196,26.7804878,854,10.41463415,1253,15.2804878,105.7,94.89512195,111.3861259
SAS,82,3210,39.14634146,6675,81.40243902,1725,21.03658537,666,8.12195122,1206,14.70731707,103,96.40243902,106.8437698
MIA,82,3148,38.3902439,6348,77.41463415,1887,23.01219512,676,8.243902439,1143,13.93902439,102.9,92.31463415,111.4666173
LAL,82,3041,37.08536585,6640,80.97560976,2289,27.91463415,942,11.48780488,1232,15.02439024,102.2,95.67804878,106.8165596
GSW,82,3130,38.17073171,6840,83.41463415,1744,21.26829268,885,10.79268293,1236,15.07317073,101.2,96.20243902,105.1948381
DAL,82,3182,38.80487805,6892,84.04878049,1669,20.35365854,767,9.353658537,1144,13.95121951,101.1,96.78780488,104.4553083
LAC,82,3160,38.53658537,6608,80.58536585,1888,23.02439024,938,11.43902439,1197,14.59756098,101.1,92.95365854,108.7638739
SAC,82,3086,37.63414634,6904,84.19512195,1869,22.79268293,943,11.5,1199,14.62195122,100.2,96.43414634,103.905104
NYK,82,2996,36.53658537,6689,81.57317073,1729,21.08536585,890,10.85365854,988,12.04878049,100,91.20243902,109.6461905
MIL,82,3128,38.14634146,7197,87.76829268,1700,20.73170732,1068,13.02439024,1156,14.09756098,98.9,97.13414634,101.8179535
UTA,82,3046,37.14634146,6710,81.82926829,1883,22.96341463,989,12.06097561,1210,14.75609756,98,93.7097561,104.5782254
ATL,82,3084,37.6097561,6644,81.02439024,1619,19.74390244,758,9.243902439,1219,14.86585366,98,94.54390244,103.6555478
POR,82,3009,36.69512195,6715,81.8902439,1680,20.48780488,874,10.65853659,1203,14.67073171,97.5,94.09756098,103.6158631
TOR,82,2979,36.32926829,6685,81.52439024,1831,22.32926829,871,10.62195122,1124,13.70731707,97.2,93.54146341,103.9111389
BRK,82,2942,35.87804878,6544,79.80487805,1958,23.87804878,1047,12.76829268,1206,14.70731707,96.9,91.29512195,106.1392963
BOS,81,3001,37.04938272,6459,79.74074074,1698,20.96296296,654,8.074074074,1181,14.58024691,96.5,94.63209877,101.9738559
CLE,82,2993,36.5,6901,84.15853659,1826,22.26829268,1004,12.24390244,1149,14.01219512,96.5,94.83414634,101.7565969
MIN,82,2943,35.8902439,6702,81.73170732,2042,24.90243902,973,11.86585366,1214,14.80487805,95.7,94.63170732,101.1288951
PHO,82,3061,37.32926829,6917,84.35365854,1618,19.73170732,959,11.69512195,1278,15.58536585,95.2,96.13658537,99.02577633
DET,82,2979,36.32926829,6638,80.95121951,1870,22.80487805,991,12.08536585,1241,15.13414634,94.9,93.12195122,101.9093766
IND,81,2845,35.12345679,6525,80.55555556,1915,23.64197531,1043,12.87654321,1227,15.14814815,94.7,92.28395062,102.6180602
ORL,82,3093,37.7195122,6904,84.19512195,1359,16.57317073,890,10.85365854,1191,14.52439024,94.1,94.49512195,99.58185995
NOH,82,2955,36.03658537,6589,80.35365854,1636,19.95121951,988,12.04878049,1193,14.54878049,94.1,90.83414634,103.595403
CHA,82,2823,34.42682927,6649,81.08536585,2060,25.12195122,917,11.18292683,1153,14.06097561,93.4,94.01219512,99.34881308
MEM,82,2964,36.14634146,6679,81.45121951,1746,21.29268293,1059,12.91463415,1144,13.95121951,93.4,91.00487805,102.6318611
PHI,82,3059,37.30487805,6895,84.08536585,1377,16.79268293,896,10.92682927,1070,13.04878049,93.2,92.92439024,100.2965957
CHI,82,2926,35.68292683,6698,81.68292683,1738,21.19512195,1026,12.51219512,1171,14.2804878,93.2,91.92926829,101.3822929
WAS,82,2910,35.48780488,6693,81.62195122,1746,21.29268293,887,10.81707317,1238,15.09756098,93.2,94.4195122,98.70841083
